comment_id,user_profile_id,reaction_type
73,50,like
46,92,dislike
7,97,love
70,31,like
67,16,dislike
21,33,like
9,48,dislike
6,67,love
76,94,dislike
99,68,like
14,25,like
99,10,love
77,14,dislike
26,96,dislike
68,68,dislike
50,67,dislike
40,53,love
28,37,love
8,86,dislike
25,8,like
54,9,love
42,19,dislike
36,57,dislike
62,88,love
55,78,like
91,27,like
80,88,love
83,71,love
73,70,love
53,67,love
100,63,dislike
87,74,dislike
48,18,love
80,73,love
27,43,dislike
35,79,dislike
28,15,like
62,42,dislike
4,60,dislike
89,60,like
48,45,dislike
86,57,dislike
68,59,dislike
52,46,dislike
53,64,love
75,1,like
22,48,dislike
63,5,dislike
49,97,like
7,94,like
22,32,dislike
71,11,love
84,99,dislike
97,22,like
75,19,dislike
85,87,dislike
81,31,love
96,90,like
63,55,like
14,72,dislike
60,13,like
56,81,love
66,89,like
90,3,dislike
40,63,dislike
76,59,like
16,68,dislike
68,24,dislike
73,90,dislike
68,10,like
63,30,like
29,21,love
72,69,love
85,45,love
52,47,like
18,17,like
44,71,dislike
32,25,love
14,82,dislike
24,30,like
62,35,like
52,58,love
82,38,love
76,3,like
99,38,like
39,20,dislike
93,68,love
78,45,dislike
57,35,love
14,54,dislike
28,3,love
39,88,love
2,81,like
52,39,like
12,98,like
99,31,love
11,15,like
54,93,dislike
31,4,dislike
45,45,like
