post_id,group_id
33,5
93,7
59,41
52,41
91,24
65,16
5,59
67,11
65,10
29,37
4,66
20,34
53,64
62,76
53,85
36,9
30,75
20,14
25,7
97,11
54,1
96,94
39,87
61,66
31,86
7,28
35,13
32,54
39,31
69,92
98,39
91,88
98,11
37,68
57,94
32,98
49,43
42,49
34,80
63,65
10,3
32,93
21,23
82,57
98,10
60,99
92,59
36,70
91,49
88,87
72,99
51,21
22,15
41,47
38,50
91,92
65,37
73,30
99,36
47,31
97,90
87,74
95,24
90,53
18,94
37,69
83,76
70,33
24,94
9,87
88,42
65,99
36,10
30,43
67,1
72,82
35,54
27,53
13,83
65,58
34,19
70,66
42,61
86,69
29,46
60,39
54,96
85,7
74,100
66,41
72,38
67,80
59,87
19,97
84,11
94,24
12,64
42,85
6,49
54,99
