id,creator_id,groupname,title,description
1,71,dupcott0,nulla,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
2,51,ipartington1,penatibus,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
3,39,lhowerd2,quis,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
4,63,mkybbye3,dui maecenas tristique est et,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
5,21,hbrignell4,posuere cubilia,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
6,54,gabbotts5,elit ac,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
7,9,jmclenahan6,tellus semper,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
8,25,sambler7,sodales scelerisque,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
9,46,ctorry8,ante vivamus tortor duis mattis,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
10,59,rarnison9,feugiat et eros vestibulum ac,nisl duis ac nibh fusce lacus purus aliquet at feugiat
11,18,jjeremiaha,dui proin leo odio porttitor,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
12,6,sduquesnayb,sapien arcu,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
13,6,gbrinsonc,enim leo rhoncus,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
14,99,tdugalld,porta,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
15,96,fsaenze,id justo sit,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
16,88,ashiref,mus vivamus vestibulum,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
17,79,ptidballg,convallis nulla,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
18,6,aiwanowiczh,nibh in hac habitasse platea,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
19,77,gsarsfieldi,odio in hac habitasse platea,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus
20,22,llafoyj,id sapien,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
21,95,tstoresk,amet,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
22,3,melgyl,donec diam neque,aliquet maecenas leo odio condimentum id luctus nec molestie sed
23,50,bcaccavalem,ultrices,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
24,26,dminern,praesent lectus vestibulum quam,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
25,55,efolletto,placerat ante,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
26,6,eerrattp,felis donec semper sapien,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
27,90,beadmeadq,mi sit amet lobortis sapien,suspendisse ornare consequat lectus in est risus auctor sed tristique
28,12,gpennr,condimentum curabitur in libero,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
29,22,kpesticcios,parturient montes,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
30,8,fcheswortht,a feugiat et eros vestibulum,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
31,4,nlinnemanu,in sagittis dui,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
32,81,cmorillav,quam nec,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
33,54,jsearbyw,ac,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
34,37,fwilkinsx,vestibulum ac,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
35,62,lhonnicotty,amet eros,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse
36,83,llarderz,ultrices phasellus id,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
37,24,adossetter10,in faucibus orci luctus et,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
38,57,ddesorts11,pretium iaculis justo,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
39,79,kpool12,ultrices,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
40,86,clightfoot13,enim sit,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
41,25,ctethcote14,felis sed interdum venenatis turpis,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
42,99,mslarke15,lobortis,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
43,77,knuzzetti16,mattis pulvinar nulla pede,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam
44,8,kpenella17,iaculis,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
45,52,vclimer18,orci,non pretium quis lectus suspendisse potenti in eleifend quam a odio in
46,10,wbirdsey19,rutrum rutrum neque,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede
47,54,jsellen1a,rutrum ac lobortis vel dapibus,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
48,18,lgroombridge1b,elit proin interdum,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
49,93,ethorlby1c,posuere felis sed,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
50,80,jforsyde1d,nam,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
51,8,amayoh1e,et commodo,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
52,61,cbeverage1f,eu sapien cursus vestibulum,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
53,99,dsommerscales1g,volutpat convallis morbi odio,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
54,6,dcoverdill1h,mauris sit,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
55,72,mdymond1i,ac diam cras pellentesque volutpat,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
56,32,mswinnerton1j,maecenas tristique est,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
57,95,cprigmore1k,maecenas,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
58,23,lgamble1l,lacinia aenean sit amet justo,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
59,58,aoverstone1m,eget congue eget semper rutrum,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
60,12,bsurcomb1n,orci luctus et,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
