post_id,user_profile_id,reaction_type
76,91,love
36,76,love
60,95,love
94,52,love
91,64,dislike
66,50,dislike
1,94,dislike
46,11,like
96,30,love
86,20,like
13,35,like
9,78,dislike
59,66,like
53,73,like
53,91,like
36,67,love
53,55,dislike
65,45,love
42,53,love
39,3,like
49,18,love
2,90,dislike
38,4,love
70,20,like
31,25,dislike
10,90,love
73,51,dislike
87,57,love
46,89,dislike
19,23,like
22,78,like
93,69,love
53,63,love
97,25,dislike
79,50,like
33,98,like
33,83,like
11,9,like
53,67,dislike
73,15,dislike
43,74,dislike
30,51,dislike
96,2,love
11,71,love
28,45,love
13,56,love
15,19,like
8,64,love
67,44,like
99,95,dislike
86,68,dislike
68,94,love
26,57,love
63,30,like
89,61,dislike
4,47,love
90,68,dislike
36,89,dislike
13,21,love
79,3,love
43,99,dislike
55,40,love
95,11,dislike
81,11,like
21,50,dislike
87,38,dislike
48,3,dislike
49,68,dislike
28,1,love
5,94,dislike
51,29,like
53,69,like
53,13,like
9,66,like
62,15,love
58,21,like
84,21,dislike
68,80,love
13,73,like
49,100,dislike
37,71,love
92,87,love
91,56,love
62,3,like
82,75,love
93,35,love
97,32,dislike
17,28,love
75,4,love
28,53,like
85,31,dislike
26,30,love
8,75,like
74,44,love
89,1,love
90,69,dislike
83,93,like
87,55,love
41,71,dislike
29,53,love
